Stem_diam_mm	Ph1	Ph2	Ph3	Ph4	Ph5	Ph6	Ph7	Ph8
8	0	1	0	0	0	0	0	0
6.045	0	0	0	0	0	0	0	1
4.86	0	0	0	0	0	0	1	0
9.63	0	0	0	0	0	0	1	0
6.6	0	0	0	0	0	0	0	1
5.2	0	1	0	0	0	0	0	0
5.025	0	0	0	0	0	0	0	1
7.35	0	0	0	1	0	0	0	0
6.5	0	0	0	1	0	0	0	0
6.605	0	0	0	0	0	0	1	0
6.04	0	0	0	0	0	0	0	1
7.39	0	0	0	0	0	0	0	1
5.3	0	0	1	0	0	0	0	0
9	0	0	0	1	0	0	0	0
3.365	0	0	0	0	0	0	0	1
4.715	0	0	0	0	1	0	0	0
5.9	0	0	1	0	0	0	0	0
6.155	0	0	0	0	0	0	1	0
8.125	0	0	0	0	0	0	0	1
9.045	0	0	0	0	0	1	0	0
7.74	0	0	0	0	0	0	0	1
6.7	0	0	0	1	0	0	0	0
8.3	1	0	0	0	0	0	0	0
5.83	0	0	0	0	0	0	0	1
6.98	0	0	0	0	0	0	0	1
7.685	0	0	0	0	0	1	0	0
10.28	0	0	0	0	0	1	0	0
4.3	0	0	1	0	0	0	0	0
6.4	0	1	0	0	0	0	0	0
5.6	1	0	0	0	0	0	0	0
7.385	0	0	0	0	0	0	0	1
6.6	0	1	0	0	0	0	0	0
5.3	0	1	0	0	0	0	0	0
6.64	0	0	0	0	0	0	0	1
3.6	0	0	1	0	0	0	0	0
3.6	0	0	1	0	0	0	0	0
9.315	0	0	0	0	0	1	0	0
5.875	0	0	0	0	0	0	1	0
7.71	0	0	0	0	0	0	0	1
5.5	1	0	0	0	0	0	0	0
5.6	0	1	0	0	0	0	0	0
5.2	0	0	1	0	0	0	0	0
5.42	0	0	0	0	0	0	1	0
6.5	0	1	0	0	0	0	0	0
6.5	0	1	0	0	0	0	0	0
7.75	0	0	0	1	0	0	0	0
8.62	0	0	0	0	0	0	1	0
4.78	0	0	0	0	0	0	1	0
3.04	0	0	0	0	0	0	1	0
3.75	0	0	0	1	0	0	0	0
10.3	1	0	0	0	0	0	0	0
3.88	0	0	0	0	1	0	0	0
3.24	0	0	0	0	0	0	0	1
7.925	0	0	0	0	0	0	0	1
10.05	0	0	0	1	0	0	0	0
5.345	0	0	0	0	0	0	0	1
5.6	0	1	0	0	0	0	0	0
5.25	0	0	0	1	0	0	0	0
6.3	0	0	1	0	0	0	0	0
8.14	0	1	0	0	0	0	0	0
6.8	0	0	0	1	0	0	0	0
8.3	0	0	1	0	0	0	0	0
4.09	0	0	0	0	1	0	0	0
7.955	0	0	0	0	0	0	0	1
4.9	0	0	1	0	0	0	0	0
8.5	0	0	1	0	0	0	0	0
4	0	0	0	1	0	0	0	0
7.295	0	0	0	0	0	0	0	1
4.45	0	0	0	1	0	0	0	0
